date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-01-11,00:00:22.7480000,23:40:11.8310000,1.12459,1.19532,1.12459,1.18687,337164.42847705,236,ADA,USD
2022-01-12,00:01:50.2110000,23:59:55.5370000,1.1928,1.31261,1.1908,1.31261,593258.3981111,455,ADA,USD
2022-01-13,00:01:33.5450000,23:56:13.8290000,1.3098,1.35,1.22883,1.22883,275560.597316,350,ADA,USD
2022-01-14,00:22:42.6710000,23:43:58.7340000,1.23811,1.30768,1.22472,1.28296,138489.23008573,195,ADA,USD
2022-01-15,01:16:46.6520000,23:40:42.8100000,1.28341,1.316,1.25468,1.29729,54478.21378943,113,ADA,USD
2022-01-16,00:17:28.4500000,23:45:50.0900000,1.29435,1.4234,1.29435,1.41208,516553.18052087,495,ADA,USD
2022-01-17,00:06:24.4280000,23:59:11.9780000,1.41752,1.6,1.38926,1.6,1553616.26148751,1755,ADA,USD
2022-01-18,00:01:32.3900000,23:57:53.9880000,1.60999,1.63275,1.39836,1.46583,530881.73688352,534,ADA,USD
2022-01-19,00:18:41.2230000,23:46:43.9690000,1.48613,1.53,1.32777,1.34255,458486.20562471,542,ADA,USD
2022-01-20,00:00:09.3530000,23:59:05.6020000,1.33548,1.43691,1.25481,1.25888,415123.85575941,365,ADA,USD
2022-01-21,00:03:39.1670000,23:40:36.7820000,1.25,1.28208,1.10523,1.12905,728480.22293088,824,ADA,USD
2022-01-22,00:07:49.3150000,23:59:38.3570000,1.12293,1.15215,0.92325,1.07221,1137406.13683395,1047,ADA,USD
2022-01-23,00:02:09.2690000,23:41:22.0940000,1.07221,1.16783,1.05283,1.11672,1206309.87516736,580,ADA,USD
2022-01-24,00:02:44.3050000,23:50:51.4740000,1.11429,1.11487,0.95241,1.06839,2430823.00231452,1226,ADA,USD
2022-01-25,00:09:33.4680000,23:26:40.3490000,1.05956,1.07,0.99898,1.04283,436800.70982358,445,ADA,USD
2022-01-26,01:20:49.6630000,23:58:26.0230000,1.02617,1.154,1.02617,1.08163,812485.68837545,623,ADA,USD
2022-01-27,00:00:06.0280000,23:56:33.4930000,1.07716,1.07718,1.00799,1.04506,342664.80353074,421,ADA,USD
2022-01-28,00:16:26.2520000,22:53:45.7070000,1.05415,1.05862,1.01116,1.04776,516858.11759282,359,ADA,USD
2022-01-29,00:02:04.4570000,23:24:49.8170000,1.04526,1.07759,1.04073,1.05774,111943.91784916,147,ADA,USD
2022-01-30,00:04:43.5050000,22:18:42.3500000,1.05973,1.07131,1.0249,1.03546,68805.55482322,103,ADA,USD
2022-01-31,00:06:06.8950000,21:40:34.7760000,1.03179,1.06023,1.01288,1.04712,1672447.55912609,1533,ADA,USD
2022-02-01,00:18:56.7320000,23:58:27.8850000,1.04913,1.09467,1.0398,1.09052,375499.3457277,327,ADA,USD
2022-02-02,00:02:54.9560000,23:26:44.5040000,1.10007,1.10007,1.02741,1.03222,184767.84741319,224,ADA,USD
2022-02-03,00:01:01.7630000,23:46:14.5350000,1.02938,1.0594,1.01654,1.05687,137693.36048257,265,ADA,USD
2022-02-04,00:25:39.6680000,23:59:03.3590000,1.05794,1.1372,1.04718,1.1372,121783.8266467,162,ADA,USD
2022-02-05,00:22:54.6150000,23:20:52.3160000,1.13179,1.17433,1.11259,1.13313,245761.28171645,298,ADA,USD
2022-02-06,00:20:34.5950000,23:56:18.2090000,1.12515,1.15,1.0972,1.14477,56329.13844987,90,ADA,USD
2022-02-07,00:11:07.4050000,23:46:06.0520000,1.13423,1.2117,1.13423,1.20011,542578.56407814,690,ADA,USD
2022-02-08,00:01:16.4220000,23:58:38.3270000,1.20234,1.26302,1.13449,1.17717,561497.50961242,578,ADA,USD
