date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-01-11,00:00:00.2580000,23:59:15.2140000,41842.22,43144.74,41284.11,42736.0,2442.65415081,23131,BTC,USD
2022-01-12,00:00:13.0980000,23:59:45.5900000,42754.44,44337.26,42471.17,43933.5,2411.97995648,19850,BTC,USD
2022-01-13,00:00:00.4050000,23:59:50.1280000,43935.01,44456.34,42321.0,42571.94,1993.88324273,17232,BTC,USD
2022-01-14,00:00:02.3290000,23:59:29.7940000,42579.44,43468.95,41782.21,43102.35,1386.23211649,15936,BTC,USD
2022-01-15,00:00:00.5280000,23:59:56.2490000,43085.76,43826.8,42387.86,43102.01,692.75152268,10172,BTC,USD
2022-01-16,00:00:01.3250000,23:59:39.4700000,43084.77,43495.59,42615.0,43107.7,621.95302734,8530,BTC,USD
2022-01-17,00:00:15.7300000,23:59:11.6760000,43099.08,43209.47,41581.0,42255.07,1060.00938797,12090,BTC,USD
2022-01-18,00:00:14.6370000,23:59:58.3960000,42230.09,42685.25,41290.06,42377.4,1638.87085963,13836,BTC,USD
2022-01-19,00:00:14.2980000,23:59:44.0550000,42378.23,42589.9,41145.23,41683.21,1664.62564269,13991,BTC,USD
2022-01-20,00:00:20.2510000,23:59:39.8530000,41733.21,43518.69,40554.14,40736.05,2425.15260695,16871,BTC,USD
2022-01-21,00:00:11.9970000,23:59:43.4510000,40654.72,41115.58,35423.0,36495.46,6201.04610092,37104,BTC,USD
2022-01-22,00:00:00.4630000,23:59:44.1320000,36447.37,36825.98,34000.0,35091.11,4510.37218636,25884,BTC,USD
2022-01-23,00:00:05.9330000,23:59:34.4170000,35084.79,36574.47,34624.59,36293.62,2533.70397599,17154,BTC,USD
2022-01-24,00:00:03.3300000,23:59:54.5240000,36262.21,38050.0,32950.72,36724.99,6325.7610382,34898,BTC,USD
2022-01-25,00:00:12.2650000,23:59:48.4650000,36721.59,37552.3,35722.43,36975.91,2793.69107911,20495,BTC,USD
2022-01-26,00:00:02.3820000,23:59:34.4750000,37006.76,38946.0,36279.21,36829.32,3663.15557069,25955,BTC,USD
2022-01-27,00:00:16.9730000,23:59:55.9230000,36824.02,37251.0,35511.32,37208.36,3101.95581099,21701,BTC,USD
2022-01-28,00:00:01.1020000,23:59:46.5860000,37179.62,38022.11,36173.98,37748.36,2420.65410706,19300,BTC,USD
2022-01-29,00:00:38.9280000,23:59:58.8620000,37713.14,38741.67,37327.79,38192.65,1296.90892268,12858,BTC,USD
2022-01-30,00:00:00.0310000,23:59:45.2590000,38176.45,38378.88,37372.59,37941.82,708.79481272,8762,BTC,USD
2022-01-31,00:00:10.0750000,23:59:56.6100000,37914.1,38776.33,36631.66,38491.92,2009.13000337,17719,BTC,USD
2022-02-01,00:00:15.9350000,23:59:34.9360000,38483.56,39285.0,38033.78,38733.04,2073.9387171,19025,BTC,USD
2022-02-02,00:00:30.5230000,23:59:56.5670000,38768.08,38883.96,36618.36,36923.5,1672.70719509,18446,BTC,USD
2022-02-03,00:00:15.5320000,23:59:57.3070000,36924.5,37391.74,36264.55,37320.11,1624.39014671,15670,BTC,USD
2022-02-04,00:00:02.7700000,23:59:54.2160000,37330.75,41760.39,37064.28,41579.57,3887.27207096,28880,BTC,USD
2022-02-05,00:00:04.2550000,23:59:52.7520000,41608.82,41983.12,40975.0,41427.72,1892.23797403,17248,BTC,USD
2022-02-06,00:00:08.3020000,23:59:56.3530000,41422.7,42701.86,41141.81,42420.24,854.67571444,10660,BTC,USD
2022-02-07,00:00:01.1560000,23:59:52.1970000,42420.24,44524.18,41682.11,43869.04,2601.46944039,24260,BTC,USD
2022-02-08,00:00:24.1180000,23:59:49.6020000,43895.6,45501.0,42701.19,44091.56,2591.80146351,25013,BTC,USD
2022-02-09,00:00:16.6270000,23:59:47.3800000,44106.95,44865.72,43164.0,44426.84,1625.88352507,18114,BTC,USD
2022-02-10,00:00:07.1470000,23:59:54.2390000,44426.24,45850.0,43209.07,43524.6,2692.62339808,21992,BTC,USD
2022-02-11,00:00:16.0220000,23:59:57.8460000,43540.15,43969.72,41983.12,42406.19,2170.37239741,21592,BTC,USD
2022-02-12,00:00:20.7800000,23:59:46.2340000,42392.22,43034.0,41740.06,42241.11,892.34533043,11244,BTC,USD
