date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-01-11,00:00:09.5060000,23:59:56.0680000,3084.94,3267.67,3052.28,3242.74,16990.21747956,10827,ETH,USD
2022-01-12,00:00:41.7350000,23:59:55.3850000,3241.32,3413.09,3208.02,3374.65,19729.02973393,10440,ETH,USD
2022-01-13,00:00:01.4300000,23:59:59.9800000,3372.33,3412.76,3230.7,3241.82,21742.71683507,10592,ETH,USD
2022-01-14,00:00:00.1720000,23:59:56.1200000,3241.82,3344.31,3188.89,3308.82,13620.08550075,7945,ETH,USD
2022-01-15,00:00:14.3570000,23:59:51.8530000,3311.54,3374.83,3262.94,3329.71,7273.86530533,6058,ETH,USD
2022-01-16,00:00:10.5470000,23:59:54.2850000,3328.95,3393.66,3274.92,3350.15,8990.62621799,6457,ETH,USD
2022-01-17,00:00:04.6220000,23:59:55.8180000,3350.15,3360.29,3142.68,3211.22,23755.91908362,10575,ETH,USD
2022-01-18,00:00:49.7880000,23:59:41.6720000,3214.3,3244.27,3083.63,3163.04,20218.87141465,8420,ETH,USD
2022-01-19,00:00:16.5620000,23:59:45.1270000,3163.04,3173.91,3046.75,3083.12,12867.41464428,7791,ETH,USD
2022-01-20,00:00:51.1240000,23:59:59.5500000,3092.76,3272.37,2974.09,2999.53,29034.78537625,14187,ETH,USD
2022-01-21,00:00:00.5850000,23:59:53.3480000,2999.53,3034.02,2466.15,2568.58,49694.99979282,25764,ETH,USD
2022-01-22,00:00:00.7900000,23:59:19.6100000,2567.51,2626.0,2300.0,2412.04,35399.47479439,17023,ETH,USD
2022-01-23,00:00:14.5980000,23:59:59.0760000,2413.97,2550.0,2371.79,2543.27,15002.84234763,10507,ETH,USD
2022-01-24,00:00:01.3540000,23:59:59.9150000,2543.1,2543.1,2160.0,2443.43,48719.34504528,22070,ETH,USD
2022-01-25,00:00:14.4340000,23:59:39.4010000,2444.36,2511.19,2350.0,2459.84,19401.77528355,12300,ETH,USD
2022-01-26,00:00:22.3420000,23:59:29.0090000,2461.8,2725.6,2402.72,2463.78,38043.57448489,18593,ETH,USD
2022-01-27,00:00:03.2090000,23:59:39.4770000,2464.37,2525.1,2317.0,2425.24,26049.11964842,13786,ETH,USD
2022-01-28,00:00:43.0850000,23:58:36.1650000,2427.01,2559.84,2360.0,2547.4,29752.9056647,13910,ETH,USD
2022-01-29,00:00:16.1620000,23:58:51.3310000,2546.5,2637.17,2522.72,2603.89,13387.17825398,9036,ETH,USD
2022-01-30,00:01:35.0870000,23:58:04.2910000,2600.4,2640.26,2543.64,2602.37,8359.75975147,5188,ETH,USD
2022-01-31,00:01:35.4220000,23:59:27.5680000,2604.38,2708.16,2479.78,2688.91,27255.62947468,11759,ETH,USD
2022-02-01,00:00:20.1360000,23:59:22.6730000,2689.43,2815.0,2676.98,2791.04,29375.25297872,16546,ETH,USD
2022-02-02,00:00:48.2860000,23:59:39.8970000,2792.71,2812.44,2608.78,2682.3,20322.41165426,13037,ETH,USD
2022-02-03,00:00:25.3740000,23:59:57.9190000,2678.82,2728.31,2570.21,2697.56,19493.76224303,11002,ETH,USD
2022-02-04,00:00:22.1040000,23:59:35.7300000,2698.74,2997.77,2674.54,2997.77,25057.0145428,14878,ETH,USD
2022-02-05,00:00:05.3200000,23:59:53.4630000,2998.75,3064.96,2961.48,3016.45,13028.5285451,9055,ETH,USD
2022-02-06,00:00:14.6170000,23:59:55.9250000,3016.4,3076.0,2952.99,3058.17,4706.0359775,6941,ETH,USD
2022-02-07,00:00:00.8610000,23:59:58.8540000,3058.16,3190.0,2995.0,3142.24,19172.16415428,12992,ETH,USD
2022-02-08,00:00:32.5250000,23:59:01.9140000,3147.57,3235.52,3028.43,3120.91,16399.96955236,12391,ETH,USD
2022-02-09,00:00:12.8750000,23:59:29.9590000,3120.86,3275.14,3057.69,3247.46,16009.6768695,13079,ETH,USD
2022-02-10,00:00:19.4660000,23:59:35.6020000,3249.0,3284.64,3058.91,3076.07,26006.96918756,19102,ETH,USD
2022-02-11,00:00:34.2160000,23:59:32.9990000,3074.53,3140.59,2878.78,2928.66,16820.17277855,16979,ETH,USD
2022-02-12,00:00:01.6260000,23:59:11.4240000,2927.29,2988.06,2858.16,2916.9,6518.59899437,9277,ETH,USD
2022-02-13,00:01:17.7070000,23:59:26.5240000,2917.41,2955.58,2836.0,2872.78,5707.29566881,7734,ETH,USD
2022-02-14,00:00:02.3880000,23:58:49.9330000,2872.18,2966.47,2830.15,2936.13,12189.65765137,10515,ETH,USD
2022-02-15,00:00:18.7080000,23:59:58.6410000,2934.69,3199.05,2914.25,3187.28,28628.68697321,20225,ETH,USD
2022-02-16,00:00:14.0380000,23:59:43.1290000,3187.28,3191.52,3045.86,3123.24,11765.2197986,10828,ETH,USD
2022-02-17,00:00:37.0690000,23:59:24.6000000,3127.88,3163.98,2854.15,2899.88,21186.37479122,14582,ETH,USD
2022-02-18,00:00:13.8510000,23:58:34.7650000,2894.55,2946.7,2753.17,2782.72,34684.27117359,21125,ETH,USD
2022-02-19,00:00:09.3010000,23:59:57.1810000,2779.27,2830.89,2696.0,2764.6,7089.62531228,8264,ETH,USD
2022-02-20,00:00:57.8750000,23:59:47.6080000,2762.62,2764.6,2575.49,2620.8,11499.53724589,8785,ETH,USD
2022-02-21,00:00:20.2590000,23:59:22.3840000,2623.3,2762.76,2560.59,2571.59,21536.09344731,13932,ETH,USD
2022-02-22,00:00:09.3090000,23:58:56.6100000,2570.0,2667.39,2501.0,2638.75,15149.1337729,10428,ETH,USD
2022-02-23,00:00:12.1300000,23:59:49.9890000,2638.87,2755.32,2577.06,2579.62,13939.96075423,11473,ETH,USD
2022-02-24,00:00:00.9420000,23:59:56.8830000,2581.37,2735.01,2300.0,2599.04,39181.90402477,21983,ETH,USD
2022-02-25,00:00:02.3800000,23:58:53.4540000,2599.04,2837.68,2574.0,2769.95,17754.55675773,11982,ETH,USD
2022-02-26,00:00:00.1360000,23:59:39.9890000,2769.53,2882.26,2728.58,2779.62,8419.11333047,6979,ETH,USD
2022-02-27,00:02:14.0420000,23:59:57.6460000,2779.16,2835.73,2558.9,2617.97,12055.16790421,8697,ETH,USD
2022-02-28,00:00:02.5270000,23:59:29.0010000,2618.95,2956.09,2570.0,2925.52,16876.87971271,12008,ETH,USD
2022-03-01,00:00:13.9150000,23:59:55.1060000,2925.09,3039.78,2853.08,2976.32,13805.00216767,12538,ETH,USD
2022-03-02,00:00:37.9280000,23:59:54.8720000,2974.33,3045.71,2914.87,2950.57,14680.61776973,12433,ETH,USD
2022-03-03,00:00:22.2200000,23:59:25.7610000,2947.39,2970.29,2784.54,2834.57,9554.79039369,10041,ETH,USD
2022-03-04,00:00:02.4460000,23:58:55.2190000,2834.8,2836.47,2577.09,2622.44,14235.10535549,13350,ETH,USD
2022-03-05,00:00:14.7790000,23:59:12.2460000,2623.89,2686.64,2590.0,2666.4,4843.90625376,5728,ETH,USD
2022-03-06,00:00:15.8000000,23:59:16.5210000,2664.06,2675.07,2533.06,2549.4,3970.56937266,5459,ETH,USD
2022-03-07,00:00:03.1600000,23:59:54.3690000,2549.94,2648.39,2444.75,2493.23,13889.18432263,10503,ETH,USD
2022-03-08,00:00:02.2260000,23:59:41.8740000,2492.12,2624.56,2481.11,2577.82,10303.63259046,9680,ETH,USD
2022-03-09,00:00:04.3390000,23:59:29.6630000,2577.72,2774.64,2568.16,2728.45,10501.48617033,9489,ETH,USD
2022-03-10,00:00:19.4750000,23:58:36.9220000,2730.64,2733.75,2546.81,2609.54,10083.46707788,9048,ETH,USD
2022-03-11,00:00:14.5770000,23:59:26.1330000,2607.17,2678.28,2524.21,2557.64,8977.83589934,9850,ETH,USD
2022-03-12,00:00:13.4030000,23:59:31.3630000,2556.45,2614.7,2554.38,2569.16,2346.5075185,8465,ETH,USD
2022-03-13,00:00:15.2910000,23:59:55.9050000,2567.76,2602.59,2493.0,2516.85,3939.99968225,16782,ETH,USD
2022-03-14,00:00:01.8470000,23:59:32.7700000,2517.1,2609.41,2499.8,2590.89,6213.17426346,12958,ETH,USD
2022-03-15,00:00:01.9030000,23:59:22.3770000,2591.15,2670.41,2511.61,2619.62,14309.61823381,11382,ETH,USD
2022-03-16,00:00:13.7250000,23:58:57.4990000,2619.59,2791.0,2574.89,2775.55,23117.46528218,15664,ETH,USD
2022-03-17,00:00:12.7920000,23:59:12.5410000,2775.55,2840.49,2744.06,2815.51,13828.95676833,11973,ETH,USD
2022-03-18,00:00:05.4460000,23:59:55.0590000,2813.64,2987.47,2766.45,2940.06,18897.7757842,18238,ETH,USD
2022-03-19,00:00:08.9760000,23:58:29.4930000,2941.39,2986.98,2888.88,2949.68,11236.69317914,8538,ETH,USD
2022-03-20,00:00:16.7110000,23:59:13.4890000,2953.58,2964.99,2817.65,2859.93,5255.80256069,6321,ETH,USD
2022-03-21,00:01:44.0070000,23:59:19.8020000,2858.66,2962.79,2833.3,2895.38,13092.05410001,9072,ETH,USD
2022-03-22,00:00:04.2400000,23:59:12.9040000,2889.28,3052.78,2887.67,2971.39,14442.09549446,12242,ETH,USD
2022-03-23,00:00:14.4340000,23:59:13.8560000,2970.37,3047.06,2921.79,3037.54,5774.12385263,8298,ETH,USD
2022-03-24,00:00:26.2080000,23:59:36.9430000,3038.0,3130.0,3003.75,3112.23,16006.07085059,12834,ETH,USD
2022-03-25,00:00:09.1500000,23:59:23.9520000,3113.66,3195.49,3078.33,3106.13,15288.1085926,11727,ETH,USD
2022-03-26,00:00:47.5090000,23:59:53.5510000,3106.32,3154.76,3087.2,3147.22,2430.50483641,5176,ETH,USD
2022-03-27,00:01:14.5610000,23:59:58.1550000,3148.74,3300.0,3128.87,3298.06,5159.69663227,6753,ETH,USD
2022-03-28,00:00:13.6210000,23:59:55.3610000,3294.52,3436.32,3275.87,3334.5,22451.34703461,17039,ETH,USD
