date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-01-11,19:35:40.9460000,23:58:43.6750000,19.0,19.0,11.0,11.955,50170.34795612,661,GLMR,USD
2022-01-12,00:01:53.8930000,23:59:24.0560000,11.901,13.0,8.282,8.987,523059.6863931,4109,GLMR,USD
2022-01-13,00:00:38.1960000,23:59:28.5540000,8.99,14.6,8.559,11.66,490644.56856553,5269,GLMR,USD
2022-01-14,00:05:06.4800000,23:55:31.5530000,11.44,15.99,11.278,13.432,361019.9892805,4048,GLMR,USD
2022-01-15,00:00:11.5930000,23:59:52.8460000,13.373,14.24,12.391,12.65,121468.16754319,1374,GLMR,USD
2022-01-16,00:00:14.9400000,23:59:36.1770000,12.65,12.792,10.402,10.408,162004.6748005,1557,GLMR,USD
2022-01-17,00:00:37.3260000,23:58:37.0710000,10.505,11.132,9.632,10.038,157633.89680223,1947,GLMR,USD
2022-01-18,00:00:28.4210000,23:58:24.1770000,10.061,10.26,8.641,9.21,233404.77912122,2547,GLMR,USD
2022-01-19,00:06:02.9210000,23:59:02.9460000,9.199,11.082,8.419,10.193,197701.57738847,2433,GLMR,USD
2022-01-20,00:00:54.8540000,23:59:59.9250000,10.184,11.388,9.691,9.77,141867.12555241,1946,GLMR,USD
2022-01-21,00:00:06.8790000,23:55:56.9410000,9.754,10.047,8.503,8.647,162448.61179882,1858,GLMR,USD
2022-01-22,00:00:23.0030000,23:55:11.1660000,8.647,9.495,6.772,7.392,190956.07116915,1693,GLMR,USD
2022-01-23,00:00:13.1390000,23:44:40.5440000,7.425,8.704,7.409,8.018,128345.61768896,1670,GLMR,USD
2022-01-24,00:07:14.8470000,23:59:50.8100000,7.926,7.926,6.513,7.417,221350.65183645,1793,GLMR,USD
2022-01-25,00:00:39.7250000,23:45:34.6480000,7.442,7.979,7.105,7.769,127430.36507375,896,GLMR,USD
2022-01-26,00:02:32.1270000,23:50:07.3080000,7.745,8.9,7.035,7.333,93862.68001318,704,GLMR,USD
2022-01-27,00:02:13.8640000,23:56:01.1040000,7.211,7.317,6.51,6.617,52060.12367398,465,GLMR,USD
2022-01-28,00:26:19.8910000,23:59:13.1570000,6.657,6.657,6.005,6.452,84288.07085879,686,GLMR,USD
2022-01-29,00:01:23.8020000,23:45:44.7310000,6.467,6.554,6.09,6.173,93057.70706245,623,GLMR,USD
2022-01-30,00:23:00.2570000,23:56:57.1100000,6.183,6.378,5.661,5.737,54599.68093411,532,GLMR,USD
2022-01-31,00:00:36.6260000,23:57:24.5500000,5.673,5.738,5.072,5.389,111596.01940352,872,GLMR,USD
2022-02-01,00:01:15.4920000,23:53:31.0260000,5.38,5.748,5.228,5.365,71431.05008374,599,GLMR,USD
2022-02-02,00:02:12.8410000,23:59:15.1960000,5.328,5.511,5.01,5.081,74348.81292793,619,GLMR,USD
2022-02-03,00:25:00.7620000,23:55:08.6430000,5.087,5.087,4.6,4.748,67277.32025419,520,GLMR,USD
2022-02-04,00:02:10.3300000,23:54:41.6610000,4.734,6.22,4.734,5.748,263659.87574533,1677,GLMR,USD
2022-02-05,00:03:31.2060000,23:52:45.6260000,5.846,6.205,5.688,5.769,143507.94801008,1061,GLMR,USD
2022-02-06,00:01:17.3130000,23:56:26.9440000,5.765,6.75,5.761,6.143,319440.78358232,1576,GLMR,USD
2022-02-07,00:00:24.4360000,23:59:19.0340000,6.141,6.637,6.041,6.287,115983.23578456,685,GLMR,USD
2022-02-08,00:18:15.5500000,23:20:46.7590000,6.211,6.38,5.623,5.831,100197.44599694,644,GLMR,USD
2022-02-09,00:02:03.0290000,23:43:04.4440000,5.841,5.981,5.634,5.908,64448.14626028,374,GLMR,USD
2022-02-10,00:19:48.7840000,23:56:31.9620000,5.876,5.952,5.51,5.533,44748.36060982,356,GLMR,USD
2022-02-11,00:05:12.3450000,23:59:44.5960000,5.53,24.99,5.157,5.157,201079.36971733,2413,GLMR,USD
2022-02-12,00:00:12.2770000,23:58:57.6510000,5.173,5.291,4.8,4.904,55459.27063566,342,GLMR,USD
2022-02-13,00:18:09.0010000,23:57:41.7030000,4.86,5.008,4.666,4.721,56060.51411039,319,GLMR,USD
2022-02-14,00:01:11.8470000,23:13:09.4440000,4.72,4.783,4.483,4.666,76474.8344784,505,GLMR,USD
2022-02-15,00:06:50.9330000,23:57:25.6450000,4.666,5.407,4.648,5.179,140821.31515868,757,GLMR,USD
2022-02-16,00:01:58.2520000,23:58:09.0300000,5.179,5.4,4.89,5.046,126680.34815321,828,GLMR,USD
2022-02-17,00:00:30.9420000,23:59:59.7050000,5.034,5.137,4.288,4.316,131819.82565646,1006,GLMR,USD
2022-02-18,00:00:00.5900000,23:56:12.7220000,4.304,4.524,3.829,3.889,90905.10480583,768,GLMR,USD
2022-02-19,00:01:42.9460000,23:54:22.4440000,3.887,4.0,3.582,3.675,71232.3995753,585,GLMR,USD
2022-02-20,00:25:32.8360000,23:59:09.2380000,3.654,3.654,1.967,2.828,1233014.52706559,4598,GLMR,USD
2022-02-21,00:00:01.1840000,23:59:47.4560000,2.833,2.888,2.31,2.332,634461.21184047,2392,GLMR,USD
2022-02-22,00:00:21.7280000,23:50:36.3110000,2.327,2.6,2.208,2.436,414152.83161695,1103,GLMR,USD
2022-02-23,00:07:24.0140000,23:49:07.7690000,2.429,2.587,2.229,2.27,299505.15004916,711,GLMR,USD
2022-02-24,00:05:36.3300000,23:59:19.6170000,2.247,2.256,1.889,2.18,634551.3331263,1450,GLMR,USD
2022-02-25,00:01:08.6140000,23:57:37.3540000,2.171,2.5,2.153,2.39,159648.83448891,601,GLMR,USD
2022-02-26,00:00:46.2630000,23:53:15.0300000,2.398,3.15,2.329,2.581,323421.76427322,1042,GLMR,USD
2022-02-27,00:04:33.2450000,23:52:20.3850000,2.577,2.648,2.325,2.358,247321.62190929,816,GLMR,USD
2022-02-28,00:03:06.3550000,23:58:13.0000000,2.348,2.664,2.3,2.664,181104.0034964,558,GLMR,USD
2022-03-01,00:02:35.4140000,23:54:14.1320000,2.678,2.714,2.526,2.626,115196.02257722,416,GLMR,USD
2022-03-02,00:01:52.1970000,23:47:22.4370000,2.628,3.039,2.517,2.895,438310.87059695,1479,GLMR,USD
2022-03-03,00:02:18.8570000,23:50:14.3190000,2.897,3.358,2.757,3.084,447938.09966708,2008,GLMR,USD
2022-03-04,00:01:35.6650000,23:41:56.5690000,3.094,3.467,2.85,3.09,369022.87390212,1378,GLMR,USD
2022-03-05,00:03:18.2270000,23:42:57.2200000,3.029,3.35,2.86,2.927,179943.08985284,459,GLMR,USD
2022-03-06,00:00:22.3720000,23:29:51.7230000,2.94,3.02,2.65,2.702,159251.07469385,431,GLMR,USD
2022-03-07,00:00:55.4030000,23:54:59.5080000,2.691,2.767,2.51,2.56,119630.63673559,298,GLMR,USD
2022-03-08,00:04:54.2650000,23:50:31.3860000,2.559,2.624,2.4,2.467,188792.94924299,465,GLMR,USD
2022-03-09,00:00:23.3880000,23:12:14.4460000,2.464,2.799,2.464,2.61,146670.73121662,373,GLMR,USD
2022-03-10,00:11:23.0260000,23:57:45.2900000,2.616,2.902,2.407,2.532,267524.10426999,669,GLMR,USD
2022-03-11,00:21:27.4050000,23:51:09.6680000,2.537,2.641,2.42,2.42,223597.1725828,525,GLMR,USD
2022-03-12,00:15:23.1550000,23:50:29.7040000,2.413,2.498,2.37,2.375,120313.28911004,271,GLMR,USD
2022-03-13,00:28:54.9830000,23:30:01.1840000,2.382,2.449,2.222,2.25,128983.568052,310,GLMR,USD
2022-03-14,00:13:37.1500000,23:56:27.9880000,2.228,2.448,2.187,2.368,126758.07187471,377,GLMR,USD
2022-03-15,00:00:50.9490000,23:59:27.2550000,2.388,2.388,2.184,2.237,180425.8084849,584,GLMR,USD
2022-03-16,00:01:07.7240000,23:50:01.2400000,2.237,2.675,2.214,2.572,346582.22866164,825,GLMR,USD
2022-03-17,00:00:36.9710000,23:41:31.2480000,2.522,2.537,2.378,2.404,104692.57684062,295,GLMR,USD
2022-03-18,00:02:07.6400000,23:40:33.2230000,2.41,2.458,2.332,2.369,78418.54781095,236,GLMR,USD
2022-03-19,00:17:08.0830000,23:57:41.5760000,2.377,2.947,2.377,2.85,207315.40357154,633,GLMR,USD
2022-03-20,00:00:24.5650000,23:39:18.9030000,2.85,3.167,2.631,2.68,114092.11548707,478,GLMR,USD
2022-03-21,01:03:22.1230000,23:58:04.9510000,2.744,2.867,2.676,2.763,118254.49454172,448,GLMR,USD
2022-03-22,00:02:06.6480000,23:55:10.9480000,2.75,2.918,2.738,2.762,155840.4037546,509,GLMR,USD
2022-03-23,00:00:00.3560000,23:57:59.1440000,2.763,2.844,2.674,2.791,79581.17262396,305,GLMR,USD
2022-03-24,00:13:41.3730000,23:59:44.6490000,2.792,2.92,2.751,2.846,75920.60365714,363,GLMR,USD
2022-03-25,00:03:47.0380000,23:46:49.3580000,2.847,2.9,2.746,2.746,59693.72669472,277,GLMR,USD
2022-03-26,00:31:57.5850000,23:33:55.5970000,2.757,2.78,2.705,2.775,66590.41433889,224,GLMR,USD
2022-03-27,00:13:31.0570000,23:35:25.5550000,2.787,2.881,2.745,2.864,66364.42466869,220,GLMR,USD
2022-03-28,00:01:40.2250000,23:49:42.9880000,2.865,3.39,2.86,3.061,248079.39882473,825,GLMR,USD
2022-03-29,00:22:16.6070000,23:39:07.3540000,3.095,3.627,3.067,3.305,319467.5221058,958,GLMR,USD
2022-03-30,00:14:03.9550000,23:56:05.8730000,3.293,3.611,3.196,3.313,148001.30674084,527,GLMR,USD
2022-03-31,00:03:28.7160000,23:47:30.2020000,3.304,3.466,3.077,3.115,139053.14931951,476,GLMR,USD
2022-04-01,00:43:26.6280000,23:54:13.8340000,3.162,3.51,2.942,3.47,347363.70031176,1033,GLMR,USD
2022-04-02,00:04:23.5090000,23:59:41.9340000,3.431,5.696,3.431,5.046,1161047.01951232,4950,GLMR,USD
2022-04-03,00:00:05.6170000,23:58:33.2060000,5.069,5.55,4.435,5.278,732975.84696056,2660,GLMR,USD
2022-04-04,00:02:49.7540000,23:58:13.0930000,5.215,5.988,4.829,5.054,775735.45315955,2564,GLMR,USD
2022-04-05,00:02:48.2100000,23:58:56.1590000,5.097,5.416,4.33,4.347,429224.5576592,1440,GLMR,USD
2022-04-06,00:00:16.3580000,23:59:14.6100000,4.337,4.685,3.75,3.75,491500.98340877,1426,GLMR,USD
2022-04-07,00:01:01.2810000,23:57:26.0320000,3.767,4.171,3.71,4.07,360114.25263286,918,GLMR,USD
2022-04-08,00:04:53.9440000,23:57:30.2970000,4.086,4.146,3.706,3.733,433116.58213232,910,GLMR,USD
2022-04-09,00:04:40.6230000,23:53:33.0400000,3.76,3.965,3.698,3.955,182663.59678255,419,GLMR,USD
2022-04-10,00:02:59.3820000,23:53:58.6220000,3.913,4.482,3.913,4.001,276865.88794125,824,GLMR,USD
2022-04-11,00:01:18.3430000,23:54:57.4350000,3.98,3.983,3.384,3.385,333393.78363732,768,GLMR,USD
2022-04-12,00:00:10.5020000,23:55:26.8180000,3.391,3.768,3.391,3.674,245264.65456167,579,GLMR,USD
2022-04-13,00:33:03.6580000,23:50:31.2100000,3.615,4.218,3.434,3.947,181797.75804288,627,GLMR,USD
2022-04-14,00:01:00.9460000,23:06:37.7520000,3.967,4.169,3.712,3.787,280214.92633634,666,GLMR,USD
2022-04-15,00:15:51.2810000,23:39:15.9960000,3.798,4.146,3.795,4.042,89104.85165666,343,GLMR,USD
2022-04-16,00:00:58.2040000,23:56:10.9880000,4.034,4.3,3.982,4.238,127768.94899821,472,GLMR,USD
2022-04-17,00:01:04.8520000,23:55:26.5360000,4.226,4.25,3.822,3.845,79631.99126097,266,GLMR,USD
2022-04-18,00:12:30.0270000,23:58:38.9930000,3.879,4.209,3.664,4.174,227015.70015918,753,GLMR,USD
2022-04-19,00:02:43.8580000,23:35:57.7000000,4.177,4.3,4.018,4.212,171265.17082706,582,GLMR,USD
2022-04-20,00:03:20.9740000,23:56:41.8140000,4.244,4.46,4.022,4.076,152520.18153405,654,GLMR,USD
2022-04-21,00:00:43.6210000,23:47:28.4430000,4.066,4.427,3.68,3.882,182372.21836891,597,GLMR,USD
2022-04-22,00:00:08.0820000,22:44:58.9140000,3.889,3.975,3.634,3.737,238612.4537562,660,GLMR,USD
2022-04-23,00:31:30.3530000,23:50:49.2780000,3.73,3.777,3.58,3.638,52659.89776961,200,GLMR,USD
2022-04-24,00:03:04.5540000,23:58:35.7600000,3.647,3.702,3.295,3.298,116186.10231328,347,GLMR,USD
2022-04-25,00:09:15.8900000,23:35:51.5120000,3.292,3.519,3.0,3.484,286159.56529148,754,GLMR,USD
2022-04-26,00:01:24.5600000,23:40:37.0290000,3.527,3.574,3.011,3.066,133776.78735829,430,GLMR,USD
2022-04-27,00:04:31.7000000,23:55:53.7190000,3.058,3.096,2.916,2.992,170875.08765205,459,GLMR,USD
2022-04-28,00:03:08.2840000,23:38:36.3160000,2.991,3.23,2.969,2.997,119311.11236983,400,GLMR,USD
2022-04-29,01:14:29.6700000,23:54:30.2770000,2.99,2.998,2.582,2.647,280001.62994265,677,GLMR,USD
2022-04-30,00:02:49.8710000,23:48:18.1660000,2.645,2.819,2.318,2.382,141712.16688362,360,GLMR,USD
2022-05-01,00:10:09.2690000,23:34:26.7480000,2.414,2.56,2.353,2.535,194914.73391804,417,GLMR,USD
2022-05-02,00:01:11.9860000,23:48:08.7070000,2.52,2.632,2.44,2.497,160937.99326042,446,GLMR,USD
2022-05-03,00:14:27.9280000,23:58:05.8870000,2.489,2.571,2.413,2.449,161694.4520995,356,GLMR,USD
2022-05-04,00:03:16.3290000,23:57:48.9400000,2.448,2.846,2.431,2.764,299793.47398179,774,GLMR,USD
2022-05-05,00:04:02.4400000,23:57:45.4300000,2.777,2.898,2.364,2.445,191991.31855065,663,GLMR,USD
2022-05-06,00:02:33.3720000,23:57:55.0680000,2.434,2.434,2.24,2.327,343198.56018669,833,GLMR,USD
2022-05-07,00:01:27.4030000,23:55:41.2020000,2.334,2.334,2.174,2.218,104673.16970297,361,GLMR,USD
2022-05-08,01:00:50.5790000,23:42:57.3030000,2.186,2.189,2.085,2.108,94921.11382038,297,GLMR,USD
2022-05-09,00:10:09.0510000,23:59:38.9030000,2.114,2.157,1.7,1.7,541015.6485484,1849,GLMR,USD
